P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,50104.693183898315,32086.250269673834,1.5615627492394937
256,400,95737.40165228785,69344.18366491112,1.3806118493645485
8192,800,90435.60699252953,68639.61815064191,1.3175423964925392
128,1000,370824.0062570622,125295.95783362567,2.959584751724083
2048,600,218030.51158165076,191374.78812730435,1.1392854498504514
256,900,199950.52463137897,79309.82918527524,2.521131701901358
256,100,31622.365069491378,27744.76099020595,1.1397598660393666
4096,300,26571.248491317507,24265.13520631133,1.0950381386874102
256,200,48923.96393137043,32996.77807816611,1.4826891224189946
2048,400,56781.39518248095,49006.50439213838,1.1586501809663825
8192,1000,104876.03636487969,97895.23348711745,1.071308914939979
1024,500,136352.03522124168,103433.70181766388,1.3182553928274485
256,600,181161.51750959808,107515.86756387605,1.684974707588799
8192,900,78332.28796175844,76055.59330000391,1.029934611814466
8192,700,109185.35052775893,80626.46962808013,1.3542122212645222
256,1000,225815.88878278996,66688.81108753479,3.38611357887888
8192,900,312121.06785544707,294265.0674249581,1.0606799868796608
2048,700,58587.48637974149,53921.858220267735,1.0865257302597942
1024,600,116423.10337820096,87981.12037524463,1.323273707832426
4096,1000,67880.08621259574,57823.110280004155,1.1739265820169724
2048,200,45740.15507776714,43211.18708703341,1.0585257698576997
512,800,102390.46364864941,76745.1936743743,1.3341612516229564
128,200,90489.26228727264,55080.46923257345,1.6428556900121534
2048,800,132651.6960455931,91530.45019922058,1.4492630130942226
512,100,83609.6738970502,81541.92332472774,1.025358128530866
1024,100,27225.58747769369,26126.125239736124,1.0420828663978599
512,900,102415.09769273463,83768.9354752691,1.2225904162643966
256,800,210938.93572356136,140690.70674223357,1.4993096602324492
1024,100,35502.01009735424,26128.92828146623,1.3587243118018173
1024,700,279566.44856638304,209079.4040392636,1.3371305024089435
256,300,95514.54832477332,73378.01257741736,1.3016780500017064
1024,600,125258.60390314228,121589.27436436518,1.0301780692249323
8192,200,73311.69577320524,66804.37457564907,1.0974086089255621
1024,300,67475.91508328574,60661.299768006524,1.1123387619675325
4096,900,129304.00141773687,83867.31024046338,1.5417687898538528
512,900,93498.64382800186,83934.36071927342,1.113949555661919
4096,100,83609.6738970502,81541.92332472774,1.025358128530866
8192,700,48435.71147938358,48366.36010081021,1.0014338763228992
1024,400,113005.73650364624,93715.09953214714,1.2058434240352252
256,700,154880.93298882636,54206.33391376397,2.8572478861091044
256,400,110864.98500602819,62094.6152682652,1.785420273997384
512,500,241973.48589389215,150411.49619722992,1.6087432943064395
256,900,164348.79774682692,65851.69814960258,2.495741224067716
8192,500,157112.9605806045,145171.26830844925,1.0822593369287263
8192,300,63113.01822397354,49207.11959862682,1.2825993217805574
1024,800,119234.11881586429,113583.42103934956,1.0497493183847413
4096,800,132651.6960455931,91530.45019922058,1.4492630130942226
4096,800,122460.96691998116,80495.74766274964,1.5213346105318732
8192,500,133978.45410603267,126547.99516819877,1.0587165282860298
4096,700,279556.05730499944,209079.4040392636,1.3370808023371867
4096,800,80593.04336004751,76289.52886222344,1.056410290665133
4096,100,31544.694005033194,27021.11397775278,1.1674090872421028
8192,600,82884.20310041051,71516.09563181561,1.1589587262582262
8192,800,193798.27151681727,111382.24810651336,1.739938588162546
512,300,69704.560135624,64288.232254330745,1.0842506892998038
256,100,74001.06318934698,66621.99147149005,1.110760299337715
128,600,230285.06944798285,74899.47399565695,3.0745886074091247
2048,900,265269.8862314727,246837.67939689083,1.074673392164511
8192,1000,61427.191378951735,55350.7803146872,1.1097800433836371
4096,300,51040.116761722544,44478.45983108848,1.1475243737205072
256,500,149981.22688561218,126547.99516819877,1.1851726823982283
256,700,159034.38528290926,88059.66488743904,1.8059844480011662
128,500,184223.4171794985,56182.17500713485,3.2790367613233746
2048,700,115353.52567464375,82723.15596316708,1.3944526696491792
128,800,287189.7234504254,133043.65281458962,2.1586127363073424
512,300,40232.25571216135,36792.68253707005,1.0934852513574076
4096,200,94006.8251844146,87248.16939999937,1.0774647288406636
4096,500,393396.4422405546,374127.1854931126,1.051504561803079
8192,1000,184565.81666098573,150682.91879743664,1.2248622347772407
128,900,349447.81101666664,109443.21737422631,3.192959960431143
4096,300,37980.39848941931,36076.63280186646,1.0527700491896894
4096,400,118587.4444715172,80803.01007103526,1.4676117185147561
128,900,366181.6810149007,109318.34627419793,3.349681855746563
1024,400,59586.82719238408,55614.3310578869,1.0714293610825303
8192,600,42641.38217889294,36813.11504024967,1.1583204010926793
128,400,161606.16446396813,101350.91774796846,1.594520977756094
4096,700,98976.98945918627,83298.65199605712,1.188218381539611
8192,500,75078.65725537029,62291.80850112228,1.205273358759806
256,900,191772.59662908397,72343.07089417889,2.650877191951151
8192,1000,272178.1124383003,193587.99783544827,1.4059658423124681
8192,600,50104.693183898315,32086.250269673834,1.5615627492394937
4096,900,76876.29860700041,74506.27131782444,1.0318097691275685
8192,700,278266.3243814483,257665.43434439163,1.079952090157044
