=== START Bayesian-like search (NO repeats) ===
Grid size: 861 total combos
Initial random evals: 20, Max evals: 100, kappa=1.0
Completed computation for 999 (mu,gamma):(0.36, 0.0) model:Roofline P:128 n:600 
Completed computation for 1000 (mu,gamma):(0.36, 0.0) model:Roofline P:4096 n:100 
2.4237236277979086
2.4237236277979086

[step 22] proposed=(0.36, 0.0) -> 2.42372
         best=2.18852 @ (0.44, 0.85) | improved=False | no_improve=2/10
Completed computation for 1 (mu,gamma):(0.9, 1.0) model:Roofline P:4096 n:600 
Completed computation for 2 (mu,gamma):(0.9, 1.0) model:Roofline P:256 n:400 
Completed computation for 3 (mu,gamma):(0.9, 1.0) model:Roofline P:8192 n:800 
Completed computation for 4 (mu,gamma):(0.9, 1.0) model:Roofline P:128 n:1000 
Completed computation for 5 (mu,gamma):(0.9, 1.0) model:Roofline P:2048 n:600 
Completed computation for 6 (mu,gamma):(0.9, 1.0) model:Roofline P:256 n:900 
Completed computation for 7 (mu,gamma):(0.9, 1.0) model:Roofline P:256 n:100 
Completed computation for 8 (mu,gamma):(0.9, 1.0) model:Roofline P:4096 n:300 
Completed computation for 9 (mu,gamma):(0.9, 1.0) model:Roofline P:256 n:200 
Completed computation for 10 (mu,gamma):(0.9, 1.0) model:Roofline P:2048 n:400 
Completed computation for 11 (mu,gamma):(0.9, 1.0) model:Roofline P:8192 n:1000 
Completed computation for 12 (mu,gamma):(0.9, 1.0) model:Roofline P:1024 n:500 
Completed computation for 13 (mu,gamma):(0.9, 1.0) model:Roofline P:256 n:600 
Completed computation for 14 (mu,gamma):(0.9, 1.0) model:Roofline P:8192 n:900 
Completed computation for 15 (mu,gamma):(0.9, 1.0) model:Roofline P:8192 n:700 
Completed computation for 16 (mu,gamma):(0.9, 1.0) model:Roofline P:256 n:1000 
Completed computation for 17 (mu,gamma):(0.9, 1.0) model:Roofline P:8192 n:900 
Completed computation for 18 (mu,gamma):(0.9, 1.0) model:Roofline P:2048 n:700 
Completed computation for 19 (mu,gamma):(0.9, 1.0) model:Roofline P:1024 n:600 
Completed computation for 20 (mu,gamma):(0.9, 1.0) model:Roofline P:4096 n:1000 
Completed computation for 21 (mu,gamma):(0.9, 1.0) model:Roofline P:2048 n:200 
Completed computation for 22 (mu,gamma):(0.9, 1.0) model:Roofline P:512 n:800 
Completed computation for 23 (mu,gamma):(0.9, 1.0) model:Roofline P:128 n:200 
Completed computation for 24 (mu,gamma):(0.9, 1.0) model:Roofline P:2048 n:800 
Completed computation for 25 (mu,gamma):(0.9, 1.0) model:Roofline P:512 n:100 
Completed computation for 26 (mu,gamma):(0.9, 1.0) model:Roofline P:1024 n:100 
Completed computation for 27 (mu,gamma):(0.9, 1.0) model:Roofline P:512 n:900 
Completed computation for 28 (mu,gamma):(0.9, 1.0) model:Roofline P:256 n:800 
Completed computation for 29 (mu,gamma):(0.9, 1.0) model:Roofline P:1024 n:100 
Completed computation for 30 (mu,gamma):(0.9, 1.0) model:Roofline P:1024 n:700 
Completed computation for 31 (mu,gamma):(0.9, 1.0) model:Roofline P:256 n:300 
Completed computation for 32 (mu,gamma):(0.9, 1.0) model:Roofline P:1024 n:600 
Completed computation for 33 (mu,gamma):(0.9, 1.0) model:Roofline P:8192 n:200 
Completed computation for 34 (mu,gamma):(0.9, 1.0) model:Roofline P:1024 n:300 
Completed computation for 35 (mu,gamma):(0.9, 1.0) model:Roofline P:4096 n:900 
Completed computation for 36 (mu,gamma):(0.9, 1.0) model:Roofline P:512 n:900 
Completed computation for 37 (mu,gamma):(0.9, 1.0) model:Roofline P:4096 n:100 
Completed computation for 38 (mu,gamma):(0.9, 1.0) model:Roofline P:8192 n:700 
Completed computation for 39 (mu,gamma):(0.9, 1.0) model:Roofline P:1024 n:400 
Completed computation for 40 (mu,gamma):(0.9, 1.0) model:Roofline P:256 n:700 
Completed computation for 41 (mu,gamma):(0.9, 1.0) model:Roofline P:256 n:400 
Completed computation for 42 (mu,gamma):(0.9, 1.0) model:Roofline P:512 n:500 
Completed computation for 43 (mu,gamma):(0.9, 1.0) model:Roofline P:256 n:900 
Completed computation for 44 (mu,gamma):(0.9, 1.0) model:Roofline P:8192 n:500 
Completed computation for 45 (mu,gamma):(0.9, 1.0) model:Roofline P:8192 n:300 
Completed computation for 46 (mu,gamma):(0.9, 1.0) model:Roofline P:1024 n:800 
Completed computation for 47 (mu,gamma):(0.9, 1.0) model:Roofline P:4096 n:800 
Completed computation for 48 (mu,gamma):(0.9, 1.0) model:Roofline P:4096 n:800 
Completed computation for 49 (mu,gamma):(0.9, 1.0) model:Roofline P:8192 n:500 
Completed computation for 50 (mu,gamma):(0.9, 1.0) model:Roofline P:4096 n:700 
Completed computation for 51 (mu,gamma):(0.9, 1.0) model:Roofline P:4096 n:800 
Completed computation for 52 (mu,gamma):(0.9, 1.0) model:Roofline P:4096 n:100 
Completed computation for 53 (mu,gamma):(0.9, 1.0) model:Roofline P:8192 n:600 
Completed computation for 54 (mu,gamma):(0.9, 1.0) model:Roofline P:8192 n:800 
Completed computation for 55 (mu,gamma):(0.9, 1.0) model:Roofline P:512 n:300 
Completed computation for 56 (mu,gamma):(0.9, 1.0) model:Roofline P:256 n:100 
Completed computation for 57 (mu,gamma):(0.9, 1.0) model:Roofline P:128 n:600 
Completed computation for 58 (mu,gamma):(0.9, 1.0) model:Roofline P:2048 n:900 
Completed computation for 59 (mu,gamma):(0.9, 1.0) model:Roofline P:8192 n:1000 
Completed computation for 60 (mu,gamma):(0.9, 1.0) model:Roofline P:4096 n:300 
Completed computation for 61 (mu,gamma):(0.9, 1.0) model:Roofline P:256 n:500 
Completed computation for 62 (mu,gamma):(0.9, 1.0) model:Roofline P:256 n:700 
Completed computation for 63 (mu,gamma):(0.9, 1.0) model:Roofline P:128 n:500 
Completed computation for 64 (mu,gamma):(0.9, 1.0) model:Roofline P:2048 n:700 
Completed computation for 65 (mu,gamma):(0.9, 1.0) model:Roofline P:128 n:800 
Completed computation for 66 (mu,gamma):(0.9, 1.0) model:Roofline P:512 n:300 
Completed computation for 67 (mu,gamma):(0.9, 1.0) model:Roofline P:4096 n:200 
Completed computation for 68 (mu,gamma):(0.9, 1.0) model:Roofline P:4096 n:500 
Completed computation for 69 (mu,gamma):(0.9, 1.0) model:Roofline P:8192 n:1000 
Completed computation for 70 (mu,gamma):(0.9, 1.0) model:Roofline P:128 n:900 
Completed computation for 71 (mu,gamma):(0.9, 1.0) model:Roofline P:4096 n:300 
Completed computation for 72 (mu,gamma):(0.9, 1.0) model:Roofline P:4096 n:400 
Completed computation for 73 (mu,gamma):(0.9, 1.0) model:Roofline P:128 n:900 
Completed computation for 74 (mu,gamma):(0.9, 1.0) model:Roofline P:1024 n:400 
Completed computation for 75 (mu,gamma):(0.9, 1.0) model:Roofline P:8192 n:600 
Completed computation for 76 (mu,gamma):(0.9, 1.0) model:Roofline P:128 n:400 
Completed computation for 77 (mu,gamma):(0.9, 1.0) model:Roofline P:4096 n:700 
Completed computation for 78 (mu,gamma):(0.9, 1.0) model:Roofline P:8192 n:500 
Completed computation for 79 (mu,gamma):(0.9, 1.0) model:Roofline P:256 n:900 
Completed computation for 80 (mu,gamma):(0.9, 1.0) model:Roofline P:8192 n:1000 
Completed computation for 81 (mu,gamma):(0.9, 1.0) model:Roofline P:8192 n:600 
Completed computation for 82 (mu,gamma):(0.9, 1.0) model:Roofline P:4096 n:900 
Completed computation for 83 (mu,gamma):(0.9, 1.0) model:Roofline P:8192 n:700 
Completed computation for 84 (mu,gamma):(0.9, 1.0) model:Roofline P:128 n:300 
Completed computation for 85 (mu,gamma):(0.9, 1.0) model:Roofline P:4096 n:700 
Completed computation for 86 (mu,gamma):(0.9, 1.0) model:Roofline P:256 n:100 
Completed computation for 87 (mu,gamma):(0.9, 1.0) model:Roofline P:2048 n:500 
Completed computation for 88 (mu,gamma):(0.9, 1.0) model:Roofline P:512 n:600 
Completed computation for 89 (mu,gamma):(0.9, 1.0) model:Roofline P:512 n:500 
Completed computation for 90 (mu,gamma):(0.9, 1.0) model:Roofline P:512 n:400 
Completed computation for 91 (mu,gamma):(0.9, 1.0) model:Roofline P:8192 n:1000 
Completed computation for 92 (mu,gamma):(0.9, 1.0) model:Roofline P:128 n:600 
Completed computation for 93 (mu,gamma):(0.9, 1.0) model:Roofline P:2048 n:800 
Completed computation for 94 (mu,gamma):(0.9, 1.0) model:Roofline P:8192 n:200 
Completed computation for 95 (mu,gamma):(0.9, 1.0) model:Roofline P:512 n:400 
Completed computation for 96 (mu,gamma):(0.9, 1.0) model:Roofline P:1024 n:300 
Completed computation for 97 (mu,gamma):(0.9, 1.0) model:Roofline P:1024 n:800 
Completed computation for 98 (mu,gamma):(0.9, 1.0) model:Roofline P:1024 n:100 
Completed computation for 99 (mu,gamma):(0.9, 1.0) model:Roofline P:2048 n:200 
Completed computation for 100 (mu,gamma):(0.9, 1.0) model:Roofline P:256 n:100 
Completed computation for 101 (mu,gamma):(0.9, 1.0) model:Roofline P:1024 n:700 
Completed computation for 102 (mu,gamma):(0.9, 1.0) model:Roofline P:4096 n:800 
Completed computation for 103 (mu,gamma):(0.9, 1.0) model:Roofline P:4096 n:800 
Completed computation for 104 (mu,gamma):(0.9, 1.0) model:Roofline P:8192 n:1000 
Completed computation for 105 (mu,gamma):(0.9, 1.0) model:Roofline P:8192 n:700 
Completed computation for 106 (mu,gamma):(0.9, 1.0) model:Roofline P:8192 n:1000 
Completed computation for 107 (mu,gamma):(0.9, 1.0) model:Roofline P:4096 n:900 
Completed computation for 108 (mu,gamma):(0.9, 1.0) model:Roofline P:512 n:700 
Completed computation for 109 (mu,gamma):(0.9, 1.0) model:Roofline P:1024 n:200 
Completed computation for 110 (mu,gamma):(0.9, 1.0) model:Roofline P:4096 n:700 
Completed computation for 111 (mu,gamma):(0.9, 1.0) model:Roofline P:2048 n:700 
Completed computation for 112 (mu,gamma):(0.9, 1.0) model:Roofline P:8192 n:300 
Completed computation for 113 (mu,gamma):(0.9, 1.0) model:Roofline P:8192 n:500 
Completed computation for 114 (mu,gamma):(0.9, 1.0) model:Roofline P:8192 n:700 
Completed computation for 115 (mu,gamma):(0.9, 1.0) model:Roofline P:256 n:1000 
Completed computation for 116 (mu,gamma):(0.9, 1.0) model:Roofline P:2048 n:100 
Completed computation for 117 (mu,gamma):(0.9, 1.0) model:Roofline P:4096 n:700 
Completed computation for 118 (mu,gamma):(0.9, 1.0) model:Roofline P:1024 n:800 
Completed computation for 119 (mu,gamma):(0.9, 1.0) model:Roofline P:1024 n:400 
Completed computation for 120 (mu,gamma):(0.9, 1.0) model:Roofline P:256 n:100 
Completed computation for 121 (mu,gamma):(0.9, 1.0) model:Roofline P:128 n:900 
Completed computation for 122 (mu,gamma):(0.9, 1.0) model:Roofline P:512 n:900 
Completed computation for 123 (mu,gamma):(0.9, 1.0) model:Roofline P:4096 n:1000 
Completed computation for 124 (mu,gamma):(0.9, 1.0) model:Roofline P:8192 n:300 
Completed computation for 125 (mu,gamma):(0.9, 1.0) model:Roofline P:512 n:500 
Completed computation for 126 (mu,gamma):(0.9, 1.0) model:Roofline P:128 n:800 
Completed computation for 127 (mu,gamma):(0.9, 1.0) model:Roofline P:128 n:100 
Completed computation for 128 (mu,gamma):(0.9, 1.0) model:Roofline P:2048 n:200 
Completed computation for 129 (mu,gamma):(0.9, 1.0) model:Roofline P:4096 n:500 
Completed computation for 130 (mu,gamma):(0.9, 1.0) model:Roofline P:128 n:400 
Completed computation for 131 (mu,gamma):(0.9, 1.0) model:Roofline P:1024 n:700 
Completed computation for 132 (mu,gamma):(0.9, 1.0) model:Roofline P:128 n:300 
Completed computation for 133 (mu,gamma):(0.9, 1.0) model:Roofline P:4096 n:500 
Completed computation for 134 (mu,gamma):(0.9, 1.0) model:Roofline P:256 n:500 
Completed computation for 135 (mu,gamma):(0.9, 1.0) model:Roofline P:512 n:500 
Completed computation for 136 (mu,gamma):(0.9, 1.0) model:Roofline P:128 n:800 
Completed computation for 137 (mu,gamma):(0.9, 1.0) model:Roofline P:128 n:400 
Completed computation for 138 (mu,gamma):(0.9, 1.0) model:Roofline P:2048 n:600 
Completed computation for 139 (mu,gamma):(0.9, 1.0) model:Roofline P:4096 n:100 
Completed computation for 140 (mu,gamma):(0.9, 1.0) model:Roofline P:256 n:900 
Completed computation for 141 (mu,gamma):(0.9, 1.0) model:Roofline P:2048 n:500 
Completed computation for 142 (mu,gamma):(0.9, 1.0) model:Roofline P:1024 n:500 
Completed computation for 143 (mu,gamma):(0.9, 1.0) model:Roofline P:128 n:200 
Completed computation for 144 (mu,gamma):(0.9, 1.0) model:Roofline P:8192 n:200 
Completed computation for 145 (mu,gamma):(0.9, 1.0) model:Roofline P:2048 n:800 
Completed computation for 146 (mu,gamma):(0.9, 1.0) model:Roofline P:512 n:800 
Completed computation for 147 (mu,gamma):(0.9, 1.0) model:Roofline P:512 n:800 
Completed computation for 148 (mu,gamma):(0.9, 1.0) model:Roofline P:1024 n:600 
Completed computation for 149 (mu,gamma):(0.9, 1.0) model:Roofline P:128 n:200 
Completed computation for 150 (mu,gamma):(0.9, 1.0) model:Roofline P:2048 n:600 
Completed computation for 151 (mu,gamma):(0.9, 1.0) model:Roofline P:8192 n:500 
Completed computation for 152 (mu,gamma):(0.9, 1.0) model:Roofline P:512 n:300 
Completed computation for 153 (mu,gamma):(0.9, 1.0) model:Roofline P:512 n:600 
Completed computation for 154 (mu,gamma):(0.9, 1.0) model:Roofline P:4096 n:300 
Completed computation for 155 (mu,gamma):(0.9, 1.0) model:Roofline P:2048 n:200 
Completed computation for 156 (mu,gamma):(0.9, 1.0) model:Roofline P:512 n:800 
Completed computation for 157 (mu,gamma):(0.9, 1.0) model:Roofline P:128 n:500 
Completed computation for 158 (mu,gamma):(0.9, 1.0) model:Roofline P:4096 n:600 
Completed computation for 159 (mu,gamma):(0.9, 1.0) model:Roofline P:8192 n:400 
Completed computation for 160 (mu,gamma):(0.9, 1.0) model:Roofline P:256 n:100 
Completed computation for 161 (mu,gamma):(0.9, 1.0) model:Roofline P:2048 n:1000 
Completed computation for 162 (mu,gamma):(0.9, 1.0) model:Roofline P:2048 n:500 
Completed computation for 163 (mu,gamma):(0.9, 1.0) model:Roofline P:2048 n:1000 
Completed computation for 164 (mu,gamma):(0.9, 1.0) model:Roofline P:1024 n:600 
Completed computation for 165 (mu,gamma):(0.9, 1.0) model:Roofline P:1024 n:800 
Completed computation for 166 (mu,gamma):(0.9, 1.0) model:Roofline P:128 n:200 
Completed computation for 167 (mu,gamma):(0.9, 1.0) model:Roofline P:512 n:100 
Completed computation for 168 (mu,gamma):(0.9, 1.0) model:Roofline P:4096 n:900 
Completed computation for 169 (mu,gamma):(0.9, 1.0) model:Roofline P:8192 n:900 
Completed computation for 170 (mu,gamma):(0.9, 1.0) model:Roofline P:8192 n:300 
Completed computation for 171 (mu,gamma):(0.9, 1.0) model:Roofline P:4096 n:1000 
Completed computation for 172 (mu,gamma):(0.9, 1.0) model:Roofline P:128 n:200 
Completed computation for 173 (mu,gamma):(0.9, 1.0) model:Roofline P:4096 n:200 
Completed computation for 174 (mu,gamma):(0.9, 1.0) model:Roofline P:8192 n:600 
Completed computation for 175 (mu,gamma):(0.9, 1.0) model:Roofline P:4096 n:800 
Completed computation for 176 (mu,gamma):(0.9, 1.0) model:Roofline P:2048 n:500 
Completed computation for 177 (mu,gamma):(0.9, 1.0) model:Roofline P:128 n:300 
Completed computation for 178 (mu,gamma):(0.9, 1.0) model:Roofline P:128 n:100 
Completed computation for 179 (mu,gamma):(0.9, 1.0) model:Roofline P:128 n:400 
Completed computation for 180 (mu,gamma):(0.9, 1.0) model:Roofline P:4096 n:1000 
Completed computation for 181 (mu,gamma):(0.9, 1.0) model:Roofline P:2048 n:800 
Completed computation for 182 (mu,gamma):(0.9, 1.0) model:Roofline P:2048 n:100 
Completed computation for 183 (mu,gamma):(0.9, 1.0) model:Roofline P:128 n:900 
Completed computation for 184 (mu,gamma):(0.9, 1.0) model:Roofline P:8192 n:700 
Completed computation for 185 (mu,gamma):(0.9, 1.0) model:Roofline P:1024 n:700 
Completed computation for 186 (mu,gamma):(0.9, 1.0) model:Roofline P:512 n:700 
Completed computation for 187 (mu,gamma):(0.9, 1.0) model:Roofline P:8192 n:1000 
Completed computation for 188 (mu,gamma):(0.9, 1.0) model:Roofline P:8192 n:1000 
Completed computation for 189 (mu,gamma):(0.9, 1.0) model:Roofline P:1024 n:100 
Completed computation for 190 (mu,gamma):(0.9, 1.0) model:Roofline P:8192 n:1000 
Completed computation for 191 (mu,gamma):(0.9, 1.0) model:Roofline P:4096 n:900 
Completed computation for 192 (mu,gamma):(0.9, 1.0) model:Roofline P:8192 n:600 
Completed computation for 193 (mu,gamma):(0.9, 1.0) model:Roofline P:8192 n:1000 
Completed computation for 194 (mu,gamma):(0.9, 1.0) model:Roofline P:2048 n:100 
Completed computation for 195 (mu,gamma):(0.9, 1.0) model:Roofline P:512 n:800 
Completed computation for 196 (mu,gamma):(0.9, 1.0) model:Roofline P:2048 n:200 
Completed computation for 197 (mu,gamma):(0.9, 1.0) model:Roofline P:2048 n:600 
Completed computation for 198 (mu,gamma):(0.9, 1.0) model:Roofline P:1024 n:100 
Completed computation for 199 (mu,gamma):(0.9, 1.0) model:Roofline P:256 n:700 
Completed computation for 200 (mu,gamma):(0.9, 1.0) model:Roofline P:128 n:1000 
Completed computation for 201 (mu,gamma):(0.9, 1.0) model:Roofline P:1024 n:800 
Completed computation for 202 (mu,gamma):(0.9, 1.0) model:Roofline P:1024 n:800 
Completed computation for 203 (mu,gamma):(0.9, 1.0) model:Roofline P:1024 n:1000 
Completed computation for 204 (mu,gamma):(0.9, 1.0) model:Roofline P:8192 n:600 
Completed computation for 205 (mu,gamma):(0.9, 1.0) model:Roofline P:4096 n:200 
Completed computation for 206 (mu,gamma):(0.9, 1.0) model:Roofline P:1024 n:700 
Completed computation for 207 (mu,gamma):(0.9, 1.0) model:Roofline P:8192 n:800 
Completed computation for 208 (mu,gamma):(0.9, 1.0) model:Roofline P:128 n:1000 
Completed computation for 209 (mu,gamma):(0.9, 1.0) model:Roofline P:2048 n:1000 
Completed computation for 210 (mu,gamma):(0.9, 1.0) model:Roofline P:1024 n:1000 
Completed computation for 211 (mu,gamma):(0.9, 1.0) model:Roofline P:2048 n:900 
Completed computation for 212 (mu,gamma):(0.9, 1.0) model:Roofline P:512 n:600 
Completed computation for 213 (mu,gamma):(0.9, 1.0) model:Roofline P:1024 n:700 
Completed computation for 214 (mu,gamma):(0.9, 1.0) model:Roofline P:1024 n:100 
Completed computation for 215 (mu,gamma):(0.9, 1.0) model:Roofline P:4096 n:100 
Completed computation for 216 (mu,gamma):(0.9, 1.0) model:Roofline P:128 n:700 
Completed computation for 217 (mu,gamma):(0.9, 1.0) model:Roofline P:128 n:300 
Completed computation for 218 (mu,gamma):(0.9, 1.0) model:Roofline P:2048 n:1000 
Completed computation for 219 (mu,gamma):(0.9, 1.0) model:Roofline P:256 n:500 
Completed computation for 220 (mu,gamma):(0.9, 1.0) model:Roofline P:128 n:500 
Completed computation for 221 (mu,gamma):(0.9, 1.0) model:Roofline P:2048 n:400 
Completed computation for 222 (mu,gamma):(0.9, 1.0) model:Roofline P:128 n:900 
Completed computation for 223 (mu,gamma):(0.9, 1.0) model:Roofline P:128 n:300 
Completed computation for 224 (mu,gamma):(0.9, 1.0) model:Roofline P:4096 n:200 
Completed computation for 225 (mu,gamma):(0.9, 1.0) model:Roofline P:128 n:500 
Completed computation for 226 (mu,gamma):(0.9, 1.0) model:Roofline P:256 n:200 
Completed computation for 227 (mu,gamma):(0.9, 1.0) model:Roofline P:1024 n:300 
Completed computation for 228 (mu,gamma):(0.9, 1.0) model:Roofline P:2048 n:200 
Completed computation for 229 (mu,gamma):(0.9, 1.0) model:Roofline P:4096 n:500 
Completed computation for 230 (mu,gamma):(0.9, 1.0) model:Roofline P:8192 n:100 
Completed computation for 231 (mu,gamma):(0.9, 1.0) model:Roofline P:4096 n:700 
Completed computation for 232 (mu,gamma):(0.9, 1.0) model:Roofline P:1024 n:500 
Completed computation for 233 (mu,gamma):(0.9, 1.0) model:Roofline P:2048 n:1000 
Completed computation for 234 (mu,gamma):(0.9, 1.0) model:Roofline P:8192 n:1000 
Completed computation for 235 (mu,gamma):(0.9, 1.0) model:Roofline P:2048 n:1000 
Completed computation for 236 (mu,gamma):(0.9, 1.0) model:Roofline P:8192 n:400 
Completed computation for 237 (mu,gamma):(0.9, 1.0) model:Roofline P:128 n:700 
Completed computation for 238 (mu,gamma):(0.9, 1.0) model:Roofline P:128 n:1000 
Completed computation for 239 (mu,gamma):(0.9, 1.0) model:Roofline P:2048 n:900 
Completed computation for 240 (mu,gamma):(0.9, 1.0) model:Roofline P:4096 n:200 
Completed computation for 241 (mu,gamma):(0.9, 1.0) model:Roofline P:2048 n:300 
Completed computation for 242 (mu,gamma):(0.9, 1.0) model:Roofline P:128 n:100 
Completed computation for 243 (mu,gamma):(0.9, 1.0) model:Roofline P:128 n:1000 
Completed computation for 244 (mu,gamma):(0.9, 1.0) model:Roofline P:4096 n:300 
Completed computation for 245 (mu,gamma):(0.9, 1.0) model:Roofline P:256 n:200 
Completed computation for 246 (mu,gamma):(0.9, 1.0) model:Roofline P:4096 n:400 
Completed computation for 247 (mu,gamma):(0.9, 1.0) model:Roofline P:2048 n:200 
Completed computation for 248 (mu,gamma):(0.9, 1.0) model:Roofline P:256 n:1000 
Completed computation for 249 (mu,gamma):(0.9, 1.0) model:Roofline P:4096 n:600 
Completed computation for 250 (mu,gamma):(0.9, 1.0) model:Roofline P:256 n:500 
Completed computation for 251 (mu,gamma):(0.9, 1.0) model:Roofline P:256 n:400 
Completed computation for 252 (mu,gamma):(0.9, 1.0) model:Roofline P:512 n:500 
Completed computation for 253 (mu,gamma):(0.9, 1.0) model:Roofline P:2048 n:900 
Completed computation for 254 (mu,gamma):(0.9, 1.0) model:Roofline P:8192 n:300 
Completed computation for 255 (mu,gamma):(0.9, 1.0) model:Roofline P:512 n:900 
Completed computation for 256 (mu,gamma):(0.9, 1.0) model:Roofline P:2048 n:600 
Completed computation for 257 (mu,gamma):(0.9, 1.0) model:Roofline P:256 n:700 
Completed computation for 258 (mu,gamma):(0.9, 1.0) model:Roofline P:128 n:300 
Completed computation for 259 (mu,gamma):(0.9, 1.0) model:Roofline P:128 n:300 
Completed computation for 260 (mu,gamma):(0.9, 1.0) model:Roofline P:1024 n:700 
Completed computation for 261 (mu,gamma):(0.9, 1.0) model:Roofline P:256 n:800 
Completed computation for 262 (mu,gamma):(0.9, 1.0) model:Roofline P:1024 n:1000 
Completed computation for 263 (mu,gamma):(0.9, 1.0) model:Roofline P:4096 n:900 
Completed computation for 264 (mu,gamma):(0.9, 1.0) model:Roofline P:512 n:600 
Completed computation for 265 (mu,gamma):(0.9, 1.0) model:Roofline P:2048 n:700 
Completed computation for 266 (mu,gamma):(0.9, 1.0) model:Roofline P:256 n:400 
Completed computation for 267 (mu,gamma):(0.9, 1.0) model:Roofline P:2048 n:500 
Completed computation for 268 (mu,gamma):(0.9, 1.0) model:Roofline P:128 n:800 
Completed computation for 269 (mu,gamma):(0.9, 1.0) model:Roofline P:512 n:200 
Completed computation for 270 (mu,gamma):(0.9, 1.0) model:Roofline P:128 n:900 
Completed computation for 271 (mu,gamma):(0.9, 1.0) model:Roofline P:512 n:300 
Completed computation for 272 (mu,gamma):(0.9, 1.0) model:Roofline P:8192 n:400 
Completed computation for 273 (mu,gamma):(0.9, 1.0) model:Roofline P:8192 n:500 
Completed computation for 274 (mu,gamma):(0.9, 1.0) model:Roofline P:128 n:400 
Completed computation for 275 (mu,gamma):(0.9, 1.0) model:Roofline P:512 n:400 
Completed computation for 276 (mu,gamma):(0.9, 1.0) model:Roofline P:8192 n:700 
Completed computation for 277 (mu,gamma):(0.9, 1.0) model:Roofline P:8192 n:400 
Completed computation for 278 (mu,gamma):(0.9, 1.0) model:Roofline P:1024 n:600 
Completed computation for 279 (mu,gamma):(0.9, 1.0) model:Roofline P:512 n:700 
Completed computation for 280 (mu,gamma):(0.9, 1.0) model:Roofline P:4096 n:400 
Completed computation for 281 (mu,gamma):(0.9, 1.0) model:Roofline P:8192 n:300 
Completed computation for 282 (mu,gamma):(0.9, 1.0) model:Roofline P:512 n:200 
Completed computation for 283 (mu,gamma):(0.9, 1.0) model:Roofline P:2048 n:500 
Completed computation for 284 (mu,gamma):(0.9, 1.0) model:Roofline P:128 n:400 
Completed computation for 285 (mu,gamma):(0.9, 1.0) model:Roofline P:2048 n:400 
Completed computation for 286 (mu,gamma):(0.9, 1.0) model:Roofline P:4096 n:400 
Completed computation for 287 (mu,gamma):(0.9, 1.0) model:Roofline P:8192 n:800 
Completed computation for 288 (mu,gamma):(0.9, 1.0) model:Roofline P:1024 n:900 
Completed computation for 289 (mu,gamma):(0.9, 1.0) model:Roofline P:512 n:700 
Completed computation for 290 (mu,gamma):(0.9, 1.0) model:Roofline P:256 n:1000 
Completed computation for 291 (mu,gamma):(0.9, 1.0) model:Roofline P:256 n:700 
Completed computation for 292 (mu,gamma):(0.9, 1.0) model:Roofline P:256 n:500 
Completed computation for 293 (mu,gamma):(0.9, 1.0) model:Roofline P:8192 n:700 
Completed computation for 294 (mu,gamma):(0.9, 1.0) model:Roofline P:128 n:500 
Completed computation for 295 (mu,gamma):(0.9, 1.0) model:Roofline P:2048 n:900 
Completed computation for 296 (mu,gamma):(0.9, 1.0) model:Roofline P:128 n:200 
Completed computation for 297 (mu,gamma):(0.9, 1.0) model:Roofline P:4096 n:400 
Completed computation for 298 (mu,gamma):(0.9, 1.0) model:Roofline P:2048 n:400 
Completed computation for 299 (mu,gamma):(0.9, 1.0) model:Roofline P:2048 n:100 
Completed computation for 300 (mu,gamma):(0.9, 1.0) model:Roofline P:256 n:300 
Completed computation for 301 (mu,gamma):(0.9, 1.0) model:Roofline P:1024 n:800 
Completed computation for 302 (mu,gamma):(0.9, 1.0) model:Roofline P:128 n:900 
Completed computation for 303 (mu,gamma):(0.9, 1.0) model:Roofline P:1024 n:900 
Completed computation for 304 (mu,gamma):(0.9, 1.0) model:Roofline P:2048 n:400 
Completed computation for 305 (mu,gamma):(0.9, 1.0) model:Roofline P:8192 n:900 
Completed computation for 306 (mu,gamma):(0.9, 1.0) model:Roofline P:256 n:500 
Completed computation for 307 (mu,gamma):(0.9, 1.0) model:Roofline P:512 n:100 
Completed computation for 308 (mu,gamma):(0.9, 1.0) model:Roofline P:2048 n:400 
Completed computation for 309 (mu,gamma):(0.9, 1.0) model:Roofline P:128 n:700 
Completed computation for 310 (mu,gamma):(0.9, 1.0) model:Roofline P:2048 n:400 
Completed computation for 311 (mu,gamma):(0.9, 1.0) model:Roofline P:4096 n:1000 
Completed computation for 312 (mu,gamma):(0.9, 1.0) model:Roofline P:4096 n:800 
Completed computation for 313 (mu,gamma):(0.9, 1.0) model:Roofline P:128 n:1000 
Completed computation for 314 (mu,gamma):(0.9, 1.0) model:Roofline P:128 n:1000 
Completed computation for 315 (mu,gamma):(0.9, 1.0) model:Roofline P:128 n:600 
Completed computation for 316 (mu,gamma):(0.9, 1.0) model:Roofline P:1024 n:400 
Completed computation for 317 (mu,gamma):(0.9, 1.0) model:Roofline P:512 n:600 
Completed computation for 318 (mu,gamma):(0.9, 1.0) model:Roofline P:128 n:700 
Completed computation for 319 (mu,gamma):(0.9, 1.0) model:Roofline P:256 n:1000 
Completed computation for 320 (mu,gamma):(0.9, 1.0) model:Roofline P:4096 n:700 
Completed computation for 321 (mu,gamma):(0.9, 1.0) model:Roofline P:8192 n:700 
Completed computation for 322 (mu,gamma):(0.9, 1.0) model:Roofline P:512 n:400 
