P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,30693.62168840302,18779.00655706,1.6344646131913563
256,400,77625.28785194119,43244.960742362484,1.7950134887254032
8192,800,76825.47469053249,46379.37991347244,1.656457564414654
128,1000,150549.7079985308,119404.61005167404,1.2608366455313431
2048,600,146804.01294425118,111680.57587899217,1.314499068336788
256,900,79408.06699259387,51518.201495127876,1.5413594552617207
256,100,21631.35765481745,12924.548421892341,1.673664483176605
4096,300,32955.97484896403,17279.41691731119,1.9072388267886202
256,200,38118.55646039448,22891.533499154106,1.665181428837131
2048,400,48787.27031042732,21733.26502109654,2.244820107014265
8192,1000,87595.28015495477,60202.342442558154,1.4550144828423162
1024,500,126365.3014260212,53664.96732667876,2.3547075069810117
256,600,128035.92568869694,58028.72573355824,2.2064231821422413
8192,900,66250.42847863559,52575.017380802,1.2601123457322378
8192,700,79825.68855027214,35360.41439156067,2.2574873604796846
256,1000,84740.09360679208,58863.710166351215,1.43959824087393
8192,900,231767.12857812154,149649.57060028278,1.548732332798846
2048,700,50066.11940451379,41611.35817859911,1.2031839765870223
1024,600,85236.9053644182,43965.34404781527,1.938729406318698
4096,1000,43890.121884058884,33915.21825046568,1.2941129129680962
2048,200,21885.96913926216,12441.910416424595,1.7590521396433174
512,800,90876.84083535601,54149.74440156318,1.6782505963727616
128,200,47955.71437808825,38939.521911435,1.2315434813801747
2048,800,143448.60378051325,71810.48771496736,1.9975996312668751
512,100,66936.39984220492,60573.79424177784,1.1050389146011061
1024,100,15712.01734045647,9640.921141579869,1.6297215908854248
512,900,76672.46883922278,46304.128599874144,1.6558451947507589
256,800,165837.06881024747,86969.02217444926,1.9068521717721343
1024,100,38058.32376570818,20829.72320776272,1.827116154453977
1024,700,209686.49773734258,101971.47650017287,2.0563250129754382
256,300,63249.516993811565,35896.699653227304,1.761986968295708
1024,600,101041.02512208726,86765.25402755744,1.1645332714636634
8192,200,32756.500709824304,18018.92824454402,1.8178939538061982
1024,300,30993.187081946468,18573.116360380285,1.6687122656518951
4096,900,99622.99053286276,52757.84825268096,1.8883065521498081
512,900,67430.22226745132,53309.00486140186,1.2648936599503822
4096,100,66815.42789564826,60573.79424177784,1.1030418142366514
8192,700,46921.630900658856,41694.171098573366,1.1253762735737505
1024,400,116062.48747826557,63377.543120814065,1.8312872630139718
256,700,57318.49465964363,38261.990551516115,1.4980531287955274
256,400,44003.210667085186,22632.151942540644,1.944278687188129
512,500,169610.80596616157,62904.27191045394,2.6963320743558956
256,900,73296.19019444002,47728.093563071816,1.5357032875738148
8192,500,134564.88429639794,84889.56492633495,1.5851758035651378
8192,300,53855.97645521956,23136.448596413335,2.327754678112891
1024,800,101028.91213710613,66116.18200423285,1.5280512134024637
4096,800,143448.60378051325,71810.48771496736,1.9975996312668751
4096,800,98628.21864159273,64362.85987349461,1.532377815955456
8192,500,109785.31030937882,66624.56129320196,1.647820386032032
4096,700,209685.99365736946,101971.47650017287,2.0563200696325503
4096,800,70588.33641816469,43948.578664085064,1.606157435891089
4096,100,12703.369920195555,8321.239576006265,1.5266198988940145
8192,600,72309.61398626034,60947.46333963169,1.1864253247639316
8192,800,125703.68452393106,62102.16000225037,2.0241435164151453
512,300,61005.13606940278,51521.92639179481,1.1840616285480783
256,100,29558.61699693818,17954.53769414384,1.6463034303901456
128,600,91836.45087805418,70900.57950763027,1.295284911855633
2048,900,189990.23706143364,129752.604791726,1.4642498882114838
8192,1000,48890.447383099716,28498.849543516073,1.7155235445012216
4096,300,30182.718027574683,18481.458954016285,1.6331350302306922
256,500,111847.47183211298,66627.75825410518,1.6786918059819556
256,700,91392.95588418844,61827.216222082076,1.4781994317180132
128,500,76310.70750797172,53535.80791606614,1.4254143250740188
2048,700,99977.25832927448,69714.60276884174,1.4340934948848096
128,800,152876.34524167952,89245.39881899078,1.7129885379496845
512,300,38762.6383378511,25000.830378077444,1.5504540349924143
4096,200,85861.72502553747,53640.79281597229,1.6006796417067675
4096,500,263849.3788298094,173165.7012270452,1.5236815198401488
8192,1000,126661.45379929859,71753.33995595953,1.7652342577647304
128,900,129886.95014266045,103084.41806074536,1.2600056593045998
4096,300,32284.991834779816,19028.50780282153,1.6966644031852371
4096,400,77487.72899353896,45126.38541333707,1.7171268712037706
128,900,134487.8931167736,103160.92321660006,1.3036708951741194
1024,400,43007.7241334772,26611.894241008282,1.6161090880634623
