P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,71721.361504698,32086.250269673834,2.2352677829881884
256,400,113812.10774222238,69344.18366491112,1.6412639348700342
8192,800,122559.50238605395,68639.61815064191,1.785550469075676
128,1000,227240.23422023043,125295.95783362567,1.8136278148890608
2048,600,266827.98637347494,191374.78812730435,1.394269271226983
256,900,139303.19382997096,79309.82918527524,1.7564429940272037
256,100,43428.7676933274,27744.76099020595,1.5652961547824467
4096,300,37901.461715132646,24265.13520631133,1.5619719978017894
256,200,58679.39763408476,32996.77807816611,1.7783371908335732
2048,400,80540.2709036594,49006.50439213838,1.6434608406099593
8192,1000,150746.19401422187,97895.23348711745,1.5398726643218983
1024,500,196404.93241240355,103433.70181766388,1.8988485277132614
256,600,216790.9345433746,107515.86756387605,2.016362230575662
8192,900,96205.04448297824,76055.59330000391,1.2649305634037213
8192,700,153424.25896130793,80626.46962808013,1.9029018592657592
256,1000,137293.90573639318,66688.81108753479,2.0587247470371475
8192,900,449635.98176221625,294265.0674249581,1.5279964614790031
2048,700,81175.6141744785,53921.858220267735,1.505430577760891
1024,600,164191.58111744936,87981.12037524463,1.8662138015197198
4096,1000,94587.1738028217,57823.110280004155,1.6358022483534744
2048,200,65417.912386358585,43211.18708703341,1.513911484417165
512,800,131823.09435501962,76745.1936743743,1.717672313322159
128,200,82144.90036117453,55080.46923257345,1.4913616660439728
2048,800,194362.6241579702,91530.45019922058,2.1234750155268576
512,100,98406.1367013291,81541.92332472774,1.206816477818929
1024,100,38013.10175526832,26126.125239736124,1.45498428896195
512,900,127018.41246041718,83768.9354752691,1.516294933674029
256,800,249266.44988627968,140690.70674223357,1.7717335825384197
1024,100,51464.77704412325,26128.92828146623,1.969647453188053
1024,700,406624.92244868446,209079.4040392636,1.9448349028789236
256,300,125219.72386903451,73378.01257741736,1.7065019815973024
1024,600,147488.5274892787,121589.27436436518,1.213006067026122
8192,200,103548.95346659266,66804.37457564907,1.5500325259288843
1024,300,97004.66688093524,60661.299768006524,1.5991194921955272
